ts_event,open,high,low,close,volume
137 ,"2,122,000","2,122,000","2,107,000","2,115,000","108,793"
138 ,"2,115,000","2,120,000","2,111,000","2,116,000","50,499"
139 ,"2,115,000","2,116,000","2,105,000","2,106,000","66,577"
140 ,"2,105,000","2,110,000","2,099,000","2,110,000","104,210"
141 ,"2,137,000","2,179,000","2,110,000","2,178,000","628,342"
142 ,"2,179,000","2,180,000","2,143,000","2,147,000","281,980"
143 ,"2,148,000","2,179,000","2,141,000","2,169,000","139,932"
144 ,"2,169,000","2,170,000","2,125,000","2,146,000","256,624"
145 ,"2,147,000","2,148,000","2,120,000","2,134,000","163,058"
146 ,"2,134,000","2,139,000","2,118,000","2,125,000","127,698"
147 ,"2,126,000","2,137,000","2,117,000","2,123,000","127,844"
148 ,"2,123,000","2,156,000","2,118,000","2,155,000","134,988"
149 ,"2,154,000","2,156,000","2,132,000","2,143,500","93,917"
150 ,"2,144,000","2,147,000","2,123,000","2,141,000","107,709"
151 ,"2,141,000","2,141,000","2,117,000","2,125,000","139,692"
152 ,"2,126,000","2,128,000","2,110,000","2,111,000","115,583"
153 ,"2,110,000","2,113,000","2,090,000","2,091,000","159,917"
154 ,"2,090,500","2,100,000","2,081,000","2,094,000","124,250"
155 ,"2,093,000","2,098,000","2,072,500","2,090,000","140,425"
156 ,"2,091,000","2,097,000","2,076,000","2,080,000","89,807"
157 ,"2,079,500","2,108,000","2,078,000","2,107,000","83,698"
158 ,"2,107,000","2,111,000","2,089,000","2,094,000","75,483"
159 ,"2,093,000","2,114,000","2,093,000","2,112,000","74,043"
160 ,"2,112,000","2,116,000","2,105,000","2,106,000","62,207"
161 ,"2,107,000","2,108,000","2,091,000","2,096,000","58,453"
162 ,"2,096,000","2,097,000","2,086,000","2,088,000","60,611"
163 ,"2,089,000","2,089,500","2,078,000","2,078,000","76,829"
164 ,"2,078,000","2,084,000","2,072,000","2,078,000","96,476"
165 ,"2,079,000","2,084,000","2,060,000","2,062,000","120,555"
166 ,"2,061,000","2,068,000","2,053,000","2,062,000","131,151"
167 ,"2,062,000","2,072,000","2,023,000","2,025,000","284,243"
168 ,"2,025,000","2,032,000","2,015,000","2,018,000","221,313"
169 ,"2,019,000","2,030,000","2,004,000","2,026,000","224,691"
170 ,"2,026,000","2,044,000","2,010,000","2,018,000","212,897"
171 ,"2,018,000","2,033,000","2,010,000","2,018,000","131,225"
172 ,"2,018,000","2,028,000","2,004,000","2,005,000","148,677"
173 ,"2,004,000","2,029,000","2,000,000","2,029,000","176,270"
174 ,"2,029,000","2,030,000","2,002,000","2,008,000","140,079"
175 ,"2,007,000","2,015,000","2,001,000","2,003,000","137,070"
176 ,"2,004,000","2,012,000","1,992,000","2,000,000","241,648"
177 ,"2,000,000","2,036,000","1,999,000","2,030,000","233,785"
178 ,"2,031,000","2,053,000","2,024,000","2,048,000","251,376"
179 ,"2,048,000","2,048,000","2,048,000","2,048,000","364,449"
180 ,"2,051,000","2,079,000","2,048,000","2,072,000","119,993"
181 ,"2,072,000","2,085,000","2,060,000","2,081,000","77,688"
182 ,"2,081,000","2,083,000","2,066,000","2,072,000","46,964"
