ts_event,open,high,low,close,volume
73 ,"30,031.50","30,047.00","30,008.50","30,021.00","11,306"
74 ,"30,020.00","30,030.50","30,014.50","30,022.25","8,159"
75 ,"30,023.00","30,030.00","29,973.50","29,991.00","21,210"
76 ,"29,991.50","30,068.50","29,990.50","30,046.50","31,860"
77 ,"30,046.25","30,052.75","29,996.50","30,031.25","16,460"
78 ,"30,030.75","30,035.25","30,017.50","30,031.25","3,727"
79 ,"30,031.00","30,037.75","30,020.25","30,025.50","3,307"
80 ,"30,025.50","30,028.00","30,015.50","30,020.00","1,993"
81 ,"30,020.50","30,037.25","30,020.50","30,029.75","2,086"
82 ,"30,029.75","30,033.25","30,020.00","30,020.50","1,612"
83 ,"30,021.00","30,022.25","30,009.50","30,014.75","2,295"
84 ,"30,015.25","30,016.25","29,997.00","30,002.00","2,319"
85 ,"30,001.75","30,005.75","29,995.75","30,004.75","1,562"
86 ,"30,004.75","30,006.75","29,993.00","30,003.00","2,228"
87 ,"30,002.75","30,008.25","29,999.75","30,002.75","1,455"
88 ,"30,002.75","30,014.75","29,991.25","29,995.50","1,856"
89 ,"30,005.50","30,013.25","29,971.50","29,988.75","7,826"
90 ,"29,988.75","30,028.50","29,986.00","30,020.75","6,473"
91 ,"30,021.50","30,033.75","30,005.75","30,010.75","4,166"
92 ,"30,011.00","30,025.00","30,003.50","30,023.00","2,578"
93 ,"30,023.00","30,039.50","30,020.50","30,021.00","2,882"
94 ,"30,021.50","30,028.75","30,006.00","30,010.00","2,940"
95 ,"30,010.50","30,017.00","29,991.25","29,997.50","4,140"
96 ,"29,998.75","30,003.50","29,994.50","30,000.75","1,437"
97 ,"30,000.75","30,028.50","29,997.25","30,021.75","4,266"
98 ,"30,020.75","30,024.50","30,012.75","30,014.75","1,791"
99 ,"30,014.75","30,016.25","30,002.00","30,015.25","2,694"
100 ,"30,015.75","30,017.00","30,005.25","30,012.00","1,401"
101 ,"30,011.75","30,024.00","30,005.00","30,022.50","2,343"
102 ,"30,022.75","30,037.25","30,017.75","30,037.00","2,900"
103 ,"30,037.00","30,045.25","30,026.00","30,030.75","4,494"
104 ,"30,030.50","30,043.00","30,025.00","30,032.00","2,640"
105 ,"30,032.25","30,040.75","30,022.00","30,027.00","1,917"
106 ,"30,027.00","30,045.00","30,026.75","30,035.50","2,252"
107 ,"30,035.50","30,053.50","30,027.00","30,052.00","2,964"
108 ,"30,051.75","30,055.00","30,036.75","30,042.00","2,318"
109 ,"30,042.25","30,049.75","30,040.00","30,042.75","1,717"
110 ,"30,042.00","30,045.50","30,017.75","30,028.75","4,515"
111 ,"30,029.25","30,036.50","30,016.25","30,029.75","2,923"
112 ,"30,030.25","30,051.75","30,027.75","30,039.75","3,773"
113 ,"30,039.75","30,054.00","30,009.25","30,050.75","8,396"
114 ,"30,051.50","30,080.25","30,046.00","30,051.00","10,674"
115 ,"30,050.25","30,085.75","30,036.75","30,067.75","7,983"
116 ,"30,068.50","30,088.00","30,055.00","30,062.00","5,865"
117 ,"30,061.00","30,068.25","30,025.50","30,045.75","8,265"
118 ,"30,045.25","30,050.25","29,986.25","29,997.25","8,652"
119 ,"29,996.50","30,004.25","29,937.75","29,966.00","13,101"
120 ,"29,966.00","29,976.75","29,948.25","29,962.75","7,315"
121 ,"29,965.50","29,983.50","29,936.75","29,942.75","8,299"
122 ,"29,943.00","29,994.50","29,935.25","29,989.25","9,656"
123 ,"29,989.50","30,014.75","29,977.25","30,008.00","8,135"
124 ,"30,007.50","30,015.00","29,993.25","30,009.75","4,629"
125 ,"30,010.25","30,021.00","29,963.25","29,979.25","9,682"
126 ,"29,979.00","29,986.00","29,957.00","29,962.00","6,865"
127 ,"29,962.25","29,975.00","29,951.00","29,968.00","5,973"
128 ,"29,967.50","29,995.00","29,959.75","29,992.50","7,044"
129 ,"29,992.75","30,013.75","29,978.75","30,002.75","5,906"
130 ,"30,002.75","30,066.50","29,993.75","30,065.25","7,920"
131 ,"30,065.25","30,080.00","30,047.00","30,055.50","8,073"
132 ,"30,055.25","30,057.25","30,013.50","30,029.25","6,774"
133 ,"30,028.75","30,056.75","30,028.25","30,048.50","5,115"
134 ,"30,048.50","30,056.75","30,014.75","30,035.25","5,346"
135 ,"30,035.25","30,049.00","30,027.75","30,043.75","3,361"
136 ,"30,044.00","30,055.25","30,040.00","30,053.75","2,441"
137 ,"30,054.00","30,056.50","30,017.25","30,020.75","4,735"
138 ,"30,021.50","30,032.00","30,010.00","30,027.50","3,224"
139 ,"30,027.25","30,028.50","30,000.75","30,006.00","3,743"
140 ,"30,006.50","30,011.75","29,978.00","29,999.00","5,494"
141 ,"29,998.00","30,034.00","29,995.00","30,032.25","4,407"
142 ,"30,032.00","30,039.75","30,020.00","30,028.75","3,320"
143 ,"30,029.25","30,053.00","30,023.25","30,030.75","4,316"
144 ,"30,030.75","30,035.75","30,023.75","30,031.75","2,034"
